opaque_id,input_bits,output_bits,train_rows,test_policy,observed_fraction,public_sha256
rb-0117e91caa7937aca59df6c1,12,13,122,all-unobserved,0.03,3930f38050c7cdb4d3b1158f0f4e1847d93d6f3f3b1e24c1206f023a46c3c667
rb-0274a5c12342c7065766e77a,12,13,122,all-unobserved,0.03,8e86837bc1f8b4faa786c9ad94eefe7c7ffc3213e770af8bb3fed4521845ad6c
rb-02b9216b5509b0c63476ab47,16,17,1966,all-unobserved,0.03,301ba0fea4ff9a22927ffc326a3087fbe225675b9fa24f08ebc66815c5093d38
rb-050951ac38824143ce2846d3,12,13,409,all-unobserved,0.10,6665e706c2e797504125954afc27dcf95d6403aec86aa6e72a566fd8295d1c3b
rb-060a500319293ea9ff6a722f,20,21,31457,all-unobserved,0.03,5aed02916d33cf44960db0c22feb68e51cd61379a79c0dab0eef2077dbe3fc8c
rb-076a5ca8b61b16257600e416,12,13,122,all-unobserved,0.03,2759bc81537e0a85bafd17c1677226fb9523aed725918115da2014f97ff328c3
rb-092b576c54435c14f2e65649,20,21,31457,all-unobserved,0.03,bc0ab09091206ceec689102ec52ed6d78765bf543c56fd4efdb0eb8677a9488d
rb-09d9ab2a1804f100bd99495d,16,17,1966,all-unobserved,0.03,665acdf2c63336085f582e837068b3f8e9c3d53d4024bb777df3be15440635ed
rb-0a3aa86646da4c10c7cb7023,20,21,31457,all-unobserved,0.03,76d2ea67935e5d890d1bc11064c5466cd203b6985223b1bb4b900e74a37ccca1
rb-0d5c6fd7e6953967f50dc188,16,17,1966,all-unobserved,0.03,49d3f5fd94f4176c4e92bbcd91f738acf93a01d501ea5f8ca2cb35aee28bc769
rb-0fe835d0d2d6d26d81332cbe,16,17,1966,all-unobserved,0.03,74e0b738432bc9e79dce5590000208ec67cad262ba2755cd12bcdf54c64e6f6e
rb-117759b024bb7b144ef06c29,16,17,6553,all-unobserved,0.10,45ebd23f01f2d1f356fda52209d68cdfdde9f9d5d3b481bca1234392cd092609
rb-13d99205de52949530ca15bd,16,17,1966,all-unobserved,0.03,b0db3ad40a384a66d44adf78d3b5bb51874de1d77f7f114228a0255343d9fffa
rb-14a91e81dc5548b0701c5985,12,13,409,all-unobserved,0.10,42cebf6e4cf67f8edab753329effccdb461303bbb9fc09fb3a2aed6f399effa2
