comparison_id,method,method_version,dataset_id,tier,observation_fraction,algorithm_seed,repeat,timeout_seconds,hardware
baseline-hamming-1nn-rb-0117e91caa7937aca59df6c1,hamming-1nn,1,rb-0117e91caa7937aca59df6c1,n=6,0.03,6a38f9b51394378e31d8d4b3549ad90431ed363193c96cf2abbb9e3353af6b61,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-0274a5c12342c7065766e77a,hamming-1nn,1,rb-0274a5c12342c7065766e77a,n=6,0.03,6d09adae2a3338d7db46a4599ce1b7aa54e5bc628ddab7eb5f161c74d4461338,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-02b9216b5509b0c63476ab47,hamming-1nn,1,rb-02b9216b5509b0c63476ab47,n=8,0.03,1e6831705fbd4515a9a45c80ee3839d108817d374cfe079bafd662f0d7549b93,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-050951ac38824143ce2846d3,hamming-1nn,1,rb-050951ac38824143ce2846d3,n=6,0.10,018b4f6d251f9715e778e9e2bd64a7e0a2e2e615d3aa8e6a7b78b8e0f527f59b,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-060a500319293ea9ff6a722f,hamming-1nn,1,rb-060a500319293ea9ff6a722f,n=10,0.03,e65f09337f3c63bcd468c3a65ec76ce252831377b28b37f9b8af0c1ce7a2f4da,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-076a5ca8b61b16257600e416,hamming-1nn,1,rb-076a5ca8b61b16257600e416,n=6,0.03,dbd3f4ddd7176af14aa208a617f989c618aca1e8ad602a375456166858f01b36,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-092b576c54435c14f2e65649,hamming-1nn,1,rb-092b576c54435c14f2e65649,n=10,0.03,81013b57f1c5631fd46d15efcc40facc55634962409c0240ee1b3830d1ed288e,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-09d9ab2a1804f100bd99495d,hamming-1nn,1,rb-09d9ab2a1804f100bd99495d,n=8,0.03,4846b96c604be0a251041a191afc5a5a66727ec2ae8c4c60b785f550b52b278d,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-0a3aa86646da4c10c7cb7023,hamming-1nn,1,rb-0a3aa86646da4c10c7cb7023,n=10,0.03,3f0052c67aeb2bf28b0cb89c74469819915bb631be1df1eafd3b9f60ffc40b0b,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-0d5c6fd7e6953967f50dc188,hamming-1nn,1,rb-0d5c6fd7e6953967f50dc188,n=8,0.03,a1dc253b51d7e93aa07e3df98282c9550a2fe35e83b4d3e9ef029ab926673944,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-0fe835d0d2d6d26d81332cbe,hamming-1nn,1,rb-0fe835d0d2d6d26d81332cbe,n=8,0.03,96450d777f420d2eeb8965b68ccdb4e146862caf164a339a1ee2d15a0e68f1c4,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-117759b024bb7b144ef06c29,hamming-1nn,1,rb-117759b024bb7b144ef06c29,n=8,0.10,56ff3d5dfd12e7778f6851b42d4a887a578c1137b9e5abbfc5ae595a4e68b675,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-13d99205de52949530ca15bd,hamming-1nn,1,rb-13d99205de52949530ca15bd,n=8,0.03,63403a46c2d7361779d3a16fa46e5f87fc79ced5ed6f74325a40516baea6ccb7,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-14a91e81dc5548b0701c5985,hamming-1nn,1,rb-14a91e81dc5548b0701c5985,n=6,0.10,1b2fa2063645ede16afb979d7578f4194d61fced10a736c99b73b6d5f4546c49,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-14ca0c1f98006ecdb7c8bb7c,hamming-1nn,1,rb-14ca0c1f98006ecdb7c8bb7c,n=6,0.03,5a9fbfab0ad4cdbba1c324f94cb27ada3d6e65028b6d7d7db6ea7232f7059455,0,300,local-darwin-arm64-rust-1.93.0
